  0.1000D+00  0.2289D-06
   0.006678748   0.005000000   0.005000000
   0.000004529   0.000002821   0.000002821
   0.000676896   0.000197179   0.000197179
   0.001416713   0.001000029   0.001000029
   0.000000863   0.000000285   0.000000285
   0.000038826   0.005000000   0.005000000
  0.1000D+00  0.9120D-06
  1.5603  0.0000  0.0000
 36.4797  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.139331244   0.140000000   0.140000000
   0.006332452   0.004900000   0.004900000
   0.127215768   0.113225077   0.113225077
   0.011104469   0.024000000   0.024000000
   0.000004389   0.000004412   0.000004412
   0.001499815   0.001500000   0.001500000
   0.002476538   0.002972122   0.002972122
   0.001662396   0.000927878   0.000927878
   0.006677328   0.005000000   0.005000000
   0.000004577   0.000002821   0.000002821
   0.000687739   0.000197179   0.000197179
   0.001415747   0.001000029   0.001000029
   0.000000867   0.000000285   0.000000285
   0.000038556   0.005000000   0.005000000
  0.1000D+00  0.9328D-06
  1.5738  0.0000  0.0000
 37.3119  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.139285186   0.140000000   0.140000000
   0.006355789   0.004900000   0.004900000
   0.127293138   0.113225077   0.113225077
   0.011042652   0.024000000   0.024000000
   0.000004389   0.000004412   0.000004412
   0.001499698   0.001500000   0.001500000
   0.002463266   0.002972122   0.002972122
   0.001662639   0.000927878   0.000927878
   0.006676341   0.005000000   0.005000000
   0.000004623   0.000002821   0.000002821
   0.000698564   0.000197179   0.000197179
   0.001414600   0.001000029   0.001000029
   0.000000871   0.000000285   0.000000285
   0.000038298   0.005000000   0.005000000
  0.1000D+00  0.9535D-06
  1.5870  0.0000  0.0000
 38.1396  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.139240092   0.140000000   0.140000000
   0.006378948   0.004900000   0.004900000
   0.127370950   0.113225077   0.113225077
   0.010980949   0.024000000   0.024000000
   0.000004389   0.000004412   0.000004412
   0.001499585   0.001500000   0.001500000
   0.002450137   0.002972122   0.002972122
   0.001662971   0.000927878   0.000927878
   0.006675750   0.005000000   0.005000000
   0.000004669   0.000002821   0.000002821
   0.000709369   0.000197179   0.000197179
   0.001413288   0.001000029   0.001000029
   0.000000875   0.000000285   0.000000285
   0.000038049   0.005000000   0.005000000
  0.1000D+00  0.9741D-06
  1.6001  0.0000  0.0000
 38.9630  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.139195935   0.140000000   0.140000000
   0.006401934   0.004900000   0.004900000
   0.127449111   0.113225077   0.113225077
   0.010919433   0.024000000   0.024000000
   0.000004388   0.000004412   0.000004412
   0.001499478   0.001500000   0.001500000
   0.002437148   0.002972122   0.002972122
   0.001663380   0.000927878   0.000927878
   0.006675519   0.005000000   0.005000000
   0.000004713   0.000002821   0.000002821
   0.000720154   0.000197179   0.000197179
   0.001411826   0.001000029   0.001000029
   0.000000879   0.000000285   0.000000285
   0.000037810   0.005000000   0.005000000
  0.1000D+00  0.9946D-06
  1.6129  0.0000  0.0000
 39.7824  9.0000  9.0000
  0.0000  0.0020  0.0020
   0.139152692   0.140000000   0.140000000
   0.006424747   0.004900000   0.004900000
   0.127527528   0.113225077   0.113225077
   0.010858179   0.024000000   0.024000000
   0.000004388   0.000004412   0.000004412
   0.001499374   0.001500000   0.001500000
   0.002424296   0.002972122   0.002972122
   0.001663854   0.000927878   0.000927878
   0.006675617   0.005000000   0.005000000
   0.000004757   0.000002821   0.000002821
   0.000730918   0.000197179   0.000197179
   0.001410228   0.001000029   0.001000029
   0.000000883   0.000000285   0.000000285
   0.000037579   0.005000000   0.005000000
